CompanyYear,Operating Revenues (Sales),Total Assets,Total Current Assets,Total Current Liabilities,Equity Capital,Retained Earnings (End of Period),Operating Profit (Loss),Total Liabilities,Total Shareholders' Equity,Net Profit,Iran's GDP,z_score
exir_1303,2943011.0,3336893.0,3172291.0,2822375.0,150000.0,236819.0,708283.0,2935074.0,401819.0,34619.0,11551853000,1.821135343567157
exir_1304,3191051.0,3378132.0,3222265.0,2822375.0,150000.0,381864.0,797462.0,2831268.0,546864.0,220045.0,11443030000,2.051433679632097
exir_1305,3370054.0,4227193.0,4016389.0,3513673.0,450000.0,220418.0,820220.0,3524152.0,703041.0,236467.0,13191562000,1.758341654215063
exir_1306,3382010.0,4418090.0,4172549.0,3503927.0,450000.0,225908.0,970152.0,3697182.0,720908.0,287867.0,15345033000,1.807382174648115
exir_1307,4371785.0,4527811.0,4282616.0,2962192.0,450000.0,1054033.0,1744653.0,2978778.0,1549033.0,1047942.0,17556000000,2.99602518878284
فرآورده_تزریقی_1301,392418.0,512741.0,285234.0,181822.0,110000.0,177670.0,208692.0,214071.0,298670.0,164333.0,7342514000,3.836619574692282
فرآورده_تزریقی_1302,524219.0,677304.0,465454.0,223294.0,110000.0,223614.0,274590.0,242690.0,434614.0,212944.0,10001801000,3.936782301532262
فرآورده_تزریقی_1303,643852.0,750941.0,551271.0,205023.0,200000.0,307832.0,321646.0,223109.0,527832.0,243185.0,11551853000,4.709062086529915
فرآورده_تزریقی_1304,682246.0,848914.0,592149.0,151485.0,200000.0,455760.0,375018.0,173154.0,675760.0,317928.0,11443030000,5.972364187956233
فرآورده_تزریقی_1305,758910.0,1042610.0,729656.0,216016.0,400000.0,359398.0,425352.0,244191.0,798419.0,369710.0,13191562000,5.234833585270915
فرآورده_تزریقی_1306,857542.0,1335443.0,890377.0,406626.0,400000.0,446489.0,466694.0,448954.0,886489.0,372069.0,15345033000,3.930952932899459
فرآورده_تزریقی_1307,1217492.0,1617349.0,959268.0,233272.0,400000.0,598373.0,692785.0,278976.0,1338373.0,570340.0,17556000000,6.423489436558288
ایران_دارو_1301,276648.0,356229.0,309081.0,263956.0,70000.0,9792.0,72969.0,270698.0,85531.0,26948.0,7342514000,1.921272306892337
ایران_دارو_1302,461304.0,455777.0,412066.0,249425.0,70000.0,103406.0,202913.0,256012.0,199765.0,112414.0,10001801000,3.463766155290872
ایران_دارو_1303,529940.0,578009.0,524236.0,327937.0,110000.0,103081.0,174825.0,353889.0,224120.0,92478.0,11551853000,2.803054998217057
ایران_دارو_1304,635046.0,828845.0,741264.0,501828.0,110000.0,134268.0,203902.0,523538.0,305307.0,132387.0,11443030000,2.329089600641279
ایران_دارو_1305,725007.0,1181725.0,1029336.0,740026.0,240000.0,124530.0,255939.0,799319.0,382406.0,122744.0,13191562000,2.029523960942265
ایران_دارو_1306,725615.0,1360790.0,1181655.0,927373.0,300000.0,49998.0,176441.0,990523.0,370267.0,47861.0,15345033000,1.516660528240791
ایران_دارو_1307,789436.0,1531821.0,1365039.0,600132.0,530000.0,69053.0,311474.0,909128.0,622693.0,67426.0,17556000000,2.287224690210096
کیمیدارو_1301,468132.0,953237.0,696619.0,661448.0,240000.0,14821.0,104386.0,674416.0,278821.0,49126.0,7342514000,1.429284331754029
کیمیدارو_1302,931040.0,1169822.0,911640.0,571128.0,240000.0,320531.0,442823.0,585291.0,584531.0,330910.0,10001801000,3.288931345638028
کیمیدارو_1303,1042902.0,1549630.0,1272667.0,867307.0,240000.0,396659.0,388348.0,888971.0,660659.0,362812.0,11551853000,2.501254113679047
کیمیدارو_1304,1052307.0,1788540.0,1480412.0,1036884.0,240000.0,459111.0,351358.0,1065429.0,723111.0,326452.0,11443030000,2.1754772943455
کیمیدارو_1305,1143230.0,2249469.0,1990117.0,1402497.0,240000.0,519152.0,379800.0,1466317.0,783152.0,394908.0,13191562000,1.851567039380373
کیمیدارو_1306,1229389.0,2415248.0,2064413.0,1422277.0,240000.0,646402.0,304049.0,1504846.0,910402.0,403250.0,15345033000,1.802430303748636
کیمیدارو_1307,1335990.0,2521074.0,2153091.0,1133312.0,240000.0,723472.0,530291.0,1200528.0,1320546.0,407969.0,17556000000,2.439182208313621
پارس_1301,615280.0,837108.0,744625.0,448499.0,70000.0,296478.0,292543.0,463630.0,373478.0,224045.0,7342514000,2.984073053931636
پارس_1302,720151.0,1440962.0,1267444.0,799511.0,70000.0,546513.0,567878.0,817449.0,623513.0,449535.0,10001801000,2.857481768177212
پارس_1303,954345.0,2233580.0,1855358.0,1454406.0,70000.0,681337.0,649296.0,1475243.0,758337.0,503591.0,11551853000,2.16408443658056
پارس_1304,1184277.0,2758132.0,2357088.0,1704340.0,70000.0,811448.0,806497.0,1729684.0,1028448.0,585111.0,11443030000,2.198715008634274
پارس_1305,1254674.0,2918324.0,2441241.0,1734779.0,210000.0,921661.0,887160.0,1765663.0,1152661.0,647065.0,13191562000,2.36028028481051
پارس_1306,1236457.0,3067100.0,2606275.0,2287788.0,210000.0,509945.0,408609.0,2326155.0,740945.0,167884.0,15345033000,1.35202438218785
پارس_1307,1706453.0,3381897.0,2904452.0,1370440.0,210000.0,1126753.0,1179912.0,1709144.0,1672753.0,883509.0,17556000000,2.92923584256858
روز_1301,235332.0,494491.0,248834.0,188187.0,233280.0,10721.0,57096.0,241190.0,253301.0,29487.0,7342514000,2.261006121486004
روز_1302,452287.0,655391.0,405806.0,225345.0,233280.0,114257.0,187124.0,292785.0,362606.0,115369.0,10001801000,3.268967164708493
روز_1303,570059.0,1321820.0,549344.0,574829.0,233280.0,156797.0,178535.0,912820.0,409000.0,77073.0,11551853000,1.681752360402238
روز_1304,449665.0,1302611.0,526221.0,609338.0,233280.0,197492.0,109937.0,850344.0,452267.0,51432.0,11443030000,1.49621152007959
روز_1305,416740.0,1405212.0,544139.0,674803.0,233280.0,-12291.0,57392.0,829785.0,575427.0,-44763.0,13191562000,1.129953952335853
روز_1306,639016.0,1636571.0,860272.0,845213.0,699840.0,-2212.0,107515.0,917448.0,719123.0,10079.0,15345033000,1.629004666669779
روز_1307,619067.0,2045082.0,1227420.0,1288132.0,699840.0,2024.0,110691.0,1321723.0,723359.0,8423.0,17556000000,1.230291231236347
کاسپین تامین_1301,542806.0,827106.0,736271.0,673641.0,45000.0,88085.0,123982.0,682584.0,144522.0,58820.0,7342514000,1.494044657097933
کاسپین تامین_1302,1142776.0,1376023.0,1265318.0,855928.0,150000.0,337606.0,492459.0,866480.0,509543.0,296187.0,10001801000,2.843001705500164
کاسپین تامین_1303,1510618.0,1739415.0,1598648.0,1114458.0,150000.0,436958.0,577088.0,1130520.0,608895.0,339352.0,11551853000,2.746301148430879
کاسپین تامین_1304,1748713.0,1990537.0,1806873.0,1339581.0,150000.0,460914.0,620607.0,1357686.0,632851.0,378712.0,11443030000,2.605439070700725
کاسپین تامین_1305,1808113.0,2410565.0,2086311.0,1738573.0,150000.0,475162.0,594624.0,1763466.0,647099.0,389248.0,13191562000,2.138058151210402
کاسپین تامین_1306,2274220.0,2901964.0,2600245.0,2218591.0,150000.0,481886.0,719162.0,2248141.0,653823.0,380647.0,15345033000,2.072811239575268
کاسپین تامین_1307,2360724.0,2470189.0,2142381.0,1539177.0,150000.0,735726.0,951377.0,1562526.0,907663.0,613840.0,17556000000,3.070330534368169
شهید قاضی_1302,647904.0,741654.0,637974.0,363205.0,45000.0,304860.0,346290.0,387294.0,354360.0,247420.0,10001801000,3.648090162028244
شهید قاضی_1303,823685.0,899257.0,799128.0,408806.0,45000.0,419616.0,427788.0,430141.0,469116.0,326256.0,11551853000,3.88765493557947
شهید قاضی_1304,991201.0,1026309.0,912129.0,374402.0,135000.0,402489.0,509932.0,385320.0,640989.0,383373.0,11443030000,4.339537914708568
شهید قاضی_1305,1497136.0,1488638.0,1279294.0,527367.0,135000.0,803162.0,837426.0,536976.0,951662.0,697673.0,13191562000,4.809003133121303
شهید قاضی_1306,850718.0,2134721.0,1895931.0,1546146.0,135000.0,432665.0,462254.0,1553556.0,581165.0,343300.0,15345033000,1.698267015090942
شهید قاضی_1307,2391063.0,2724750.0,2449482.0,1278534.0,135000.0,1289716.0,1451906.0,1286534.0,1438216.0,1140551.0,17556000000,4.033026569916217
دانا_1305,3780391.0,4249591.0,3643610.0,2181078.0,400000.0,1510037.0,1123648.0,2299554.0,1950037.0,823602.0,13191562000,2.909019006281188
دانا_1306,3694558.0,5191154.0,4327113.0,2717263.0,400000.0,1449441.0,977321.0,3101713.0,2089441.0,619404.0,15345033000,2.2777169148728
دانا_1307,5047890.0,6324578.0,5289196.0,3088995.0,800000.0,1852034.0,1887542.0,3592544.0,2732034.0,1182593.0,17556000000,2.875426007445312
تهران شیمی_1301,603695.0,1592363.0,1004430.0,1161443.0,148500.0,212765.0,73222.0,1173307.0,419056.0,118711.0,7342514000,1.046318836393676
تهران شیمی_1302,386538.0,248442.0,225156.0,246785.0,2000.0,-470.0,5390.0,246785.0,1657.0,2038.0,10001801000,1.63848252470712
تهران شیمی_1303,412528.0,342713.0,297228.0,331040.0,10000.0,1546.0,9298.0,331040.0,11673.0,2016.0,11551853000,1.355730786963804
تهران شیمی_1304,1703132.0,3311366.0,2402781.0,1284368.0,148500.0,790715.0,276109.0,2126392.0,1184974.0,423479.0,11443030000,1.731175998801408
تهران شیمی_1305,2060338.0,4124073.0,3063626.0,1588129.0,148500.0,1004530.0,227651.0,2621004.0,1503069.0,361160.0,13191562000,1.633831696219844
تهران شیمی_1306,2134714.0,4358107.0,3115613.0,1998231.0,148500.0,1168580.0,208134.0,2579848.0,1778259.0,322440.0,15345033000,1.597661402087486
تهران شیمی_1307,2622902.0,5710071.0,4110179.0,3026748.0,148500.0,1483661.0,396005.0,3616731.0,2093340.0,359631.0,17556000000,1.498149754203973
تهران دارو_1301,261240.0,554200.0,401128.0,461022.0,40000.0,40360.0,36611.0,471596.0,82604.0,20563.0,7342514000,0.9854562384581173
تهران دارو_1302,654606.0,881138.0,700630.0,724830.0,40000.0,99996.0,107650.0,737142.0,143996.0,73255.0,10001801000,1.478627017534466
تهران دارو_1303,670887.0,1211189.0,1017058.0,1004165.0,40000.0,118054.0,78907.0,1049135.0,162054.0,54058.0,11551853000,1.04181432377607
تهران دارو_1304,682088.0,1453393.0,1067204.0,1288813.0,40000.0,107163.0,75274.0,1302230.0,151163.0,33241.0,11443030000,0.8468461105310975
تهران دارو_1305,739940.0,1350461.0,953483.0,1127033.0,40000.0,165381.0,97608.0,1141080.0,209381.0,62218.0,13191562000,1.10489200988608
تهران دارو_1306,763076.0,1633911.0,1189211.0,1384681.0,40000.0,190079.0,81765.0,1399832.0,234079.0,20714.0,15345033000,0.9258385285476456
